id_transaksi,id_user,id_buku,tanggal_pinjam,tanggal_kembali_rencana,tanggal_kembali_aktual,status,lama_waktu_pinjam(hari),judul,pengarang,penerbit,tahun_terbit,fakultas_terkait,prodi_terkait,kategori,sinopsis,tags,bahasa,jenis_koleksi,jumlah_halaman,isbn,stok,,,,,,,
TRX000049,USR00278,BK01260,4/5/2025,4/19/2025,4/24/2025,Terlambat,19,Jurnalistik di Era Digital,Jabal Nainggolan,Gramedia Pustaka Utama,2014,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Komunikasi & Media,"Buku ini menyajikan kajian komprehensif mengenai jurnalisme di era digital, hubungan masyarakat dan citra publik, serta strategi media dan publikasi. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","public relations, media digital, komunikasi massa, broadcasting",Indonesia,E-book,483,978-1-05-560571-6,9999,,,,,,,
TRX000051,USR00034,BK00666,1/29/2025,2/12/2025,2/15/2025,Terlambat,17,Teknologi Farmasi Komunitas,"drg. Suci Padmasari, Argono Pranowo, S.H.",Bumi Aksara,2006,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Teknologi Farmasi & Pelayanan Kefarmasian,"Buku ini memberikan pemahaman menyeluruh tentang manajemen obat dan compounding, pelayanan kefarmasian di rumah sakit, serta teknologi pembuatan sediaan obat. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","compounding obat, farmasi rumah sakit, pelayanan kefarmasian, farmasi komunitas",Inggris,Fisik,499,978-1-363-46692-4,1,,,,,,,
TRX000054,USR00308,BK00071,12/21/2023,1/4/2024,1/6/2024,Terlambat,16,Natural Language Processing untuk Pemula,"Devi Yuliarti, R. Najwa Siregar, M.TI.",Gramedia Pustaka Utama,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Kecerdasan Buatan & Data Science,"Buku ini mengulas berbagai aspek penting dari pembelajaran mesin, otomatisasi cerdas, serta analisis data besar. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","machine learning, data mining, deep learning, data science",Inggris,E-book,340,978-1-77378-263-8,9999,,,,,,,
TRX000055,USR00190,BK00028,6/29/2025,7/13/2025,7/19/2025,Terlambat,20,Algoritma dan Algoritma,"R.M. Makuta Saptono, S.E., Maimunah Puspasari, S.Farm",Graha Ilmu,2015,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pemecahan masalah komputasional, algoritma dan struktur data, serta implementasi kode. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","kompleksitas, logika komputasi, struktur data, python",Indonesia,Fisik,197,978-0-12-805982-1,3,,,,,,,
TRX000058,USR00220,BK00982,8/7/2024,8/21/2024,8/26/2024,Terlambat,19,Pengantar Pencahayaan Ruang,"Rika Rajata, S.Kom",Alfabeta,2021,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,Desain Interior & Arsitektur Ruang,"Buku ini menyajikan kajian komprehensif mengenai prinsip pencahayaan dan estetika ruang, pemilihan material dan furnitur, serta ergonomi dalam desain ruang. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","furnitur, ergonomi ruang, tata ruang, pencahayaan ruang",Indonesia,Fisik,426,978-1-07-401775-0,0,,,,,,,
TRX000059,USR00038,BK00632,1/25/2024,2/8/2024,2/11/2024,Terlambat,17,Panduan Pelayanan Kefarmasian Edisi Terbaru,"Dodo Irawan, Gaiman Wasita",Kencana Prenada,2018,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Teknologi Farmasi & Pelayanan Kefarmasian,"Buku ini memberikan pemahaman menyeluruh tentang manajemen obat dan compounding, teknologi pembuatan sediaan obat, serta standar pelayanan farmasi profesional. Membantu pembaca membangun pemahaman konseptual maupun praktis.","pelayanan kefarmasian, compounding obat, teknologi farmasi, farmasi rumah sakit",Indonesia,Fisik,257,978-0-9520046-1-5,8,,,,,,,
TRX000062,USR00170,BK00104,5/12/2025,5/26/2025,5/29/2025,Terlambat,17,Kecerdasan Buatan: Teori dan Praktik,Gasti Mulyani,Erlangga,2006,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Kecerdasan Buatan & Data Science,"Buku ini dirancang sebagai panduan untuk memahami pembelajaran mesin, prediksi berbasis data, serta jaringan saraf tiruan. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","big data, neural network, data science, deep learning",Indonesia,E-book,290,978-1-61497-840-4,9999,,,,,,,
TRX000065,USR00153,BK00458,4/6/2023,4/20/2023,4/27/2023,Terlambat,21,Rantai Pasok: Konsep dan Praktik,drg. Asirwanda Mustofa,Salemba Empat,2006,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,Ergonomi & Rantai Pasok,"Buku ini membahas secara mendalam tentang pengendalian persediaan barang, optimalisasi jaringan logistik, serta keselamatan dan kesehatan kerja industri. Membantu pembaca membangun pemahaman konseptual maupun praktis.","distribusi, k3, manajemen persediaan, analisis beban kerja",Indonesia,Fisik,410,978-1-01-601662-9,6,,,,,,,
TRX000069,USR00205,BK01044,9/24/2023,10/8/2023,10/10/2023,Terlambat,16,Manajemen Sumber Daya Manusia: Teori dan Praktik,Farhunnisa Samosir,Erlangga,2021,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,Administrasi & Manajemen Bisnis,"Buku ini menyajikan kajian komprehensif mengenai efisiensi operasional organisasi bisnis, pengelolaan keuangan bisnis, serta manajemen sumber daya manusia perusahaan. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","tata kelola perusahaan, manajemen bisnis, manajemen sumber daya manusia, manajemen keuangan",Inggris,E-book,471,978-1-4950-0507-7,9999,,,,,,,
TRX000075,USR00344,BK00946,4/2/2025,4/16/2025,4/18/2025,Terlambat,16,Desain Interior: Konsep dan Aplikasi,"Raisa Wahyudin, Hj. Eli Megantara",Nuha Medika,2023,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,Desain Interior & Arsitektur Ruang,"Buku ini dirancang sebagai panduan untuk memahami konsep arsitektur ruang dalam modern, ergonomi dalam desain ruang, serta prinsip pencahayaan dan estetika ruang. Membantu pembaca membangun pemahaman konseptual maupun praktis.","desain interior, arsitektur ruang, material interior, ergonomi ruang",Indonesia,E-book,227,978-0-9589477-3-2,9999,,,,,,,
TRX000076,USR00245,BK00973,7/10/2023,7/24/2023,7/29/2023,Terlambat,19,Perancangan Material dan Furnitur,"Cakrajiya Pangestu, S.E.",PT Grasindo,2024,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,Desain Interior & Arsitektur Ruang,"Buku ini memberikan pemahaman menyeluruh tentang prinsip pencahayaan dan estetika ruang, perancangan tata ruang interior, serta konsep arsitektur ruang dalam modern. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","ergonomi ruang, material interior, furnitur, tata ruang",Inggris,E-book,247,978-1-123-36132-2,9999,,,,,,,
TRX000078,USR00318,BK01000,4/22/2025,5/6/2025,5/7/2025,Terlambat,15,Dasar-Dasar Pencahayaan Ruang,Kartika Permadi,UI Press,2011,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,Desain Interior & Arsitektur Ruang,"Buku ini membahas secara mendalam tentang perancangan tata ruang interior, konsep arsitektur ruang dalam modern, serta prinsip pencahayaan dan estetika ruang. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","furnitur, material interior, ergonomi ruang, pencahayaan ruang",Inggris,Fisik,267,978-1-352-41039-6,0,,,,,,,
TRX000079,USR00367,BK01059,2/24/2025,3/10/2025,3/16/2025,Terlambat,20,Manajemen Administrasi Bisnis Edisi Revisi,"R. Vanesa Prasasta, S.Sos",Alfabeta,2022,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,Administrasi & Manajemen Bisnis,"Buku ini memberikan pemahaman menyeluruh tentang administrasi dan operasional bisnis, strategi tata kelola perusahaan, serta pengelolaan keuangan bisnis. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","operasional bisnis, manajemen bisnis, tata kelola perusahaan, manajemen sumber daya manusia",Inggris,Fisik,222,978-1-69335-134-1,5,,,,,,,
TRX000083,USR00322,BK00936,10/13/2025,10/27/2025,10/29/2025,Terlambat,16,Teknik Desain Multimedia Edisi Ke-2,"drg. Safina Wacana, S.E.I",PT Grasindo,2021,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,Fotografi & Multimedia,"Buku ini mengulas berbagai aspek penting dari teknik pengambilan gambar fotografi, animasi dan motion graphic, serta produksi konten multimedia digital. Membantu pembaca membangun pemahaman konseptual maupun praktis.","motion graphic, editing visual, videografi, multimedia",Inggris,E-book,437,978-0-11-860089-7,9999,,,,,,,
TRX000089,USR00152,BK00701,6/2/2024,6/16/2024,6/19/2024,Terlambat,17,Teknologi Compounding Obat Edisi Revisi,Dr. Siska Pangestu,Nuha Medika,2019,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Teknologi Farmasi & Pelayanan Kefarmasian,"Buku ini memberikan pemahaman menyeluruh tentang teknologi pembuatan sediaan obat, pelayanan kefarmasian di rumah sakit, serta praktik farmasi klinis pasien. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","sediaan farmasi, teknologi farmasi, pelayanan kefarmasian, compounding obat",Indonesia,E-book,289,978-1-156-62776-1,9999,,,,,,,
TRX000090,USR00024,BK00946,6/18/2024,7/2/2024,7/5/2024,Terlambat,17,Desain Interior: Konsep dan Aplikasi,"Raisa Wahyudin, Hj. Eli Megantara",Nuha Medika,2023,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,Desain Interior & Arsitektur Ruang,"Buku ini dirancang sebagai panduan untuk memahami konsep arsitektur ruang dalam modern, ergonomi dalam desain ruang, serta prinsip pencahayaan dan estetika ruang. Membantu pembaca membangun pemahaman konseptual maupun praktis.","desain interior, arsitektur ruang, material interior, ergonomi ruang",Indonesia,E-book,227,978-0-9589477-3-2,9999,,,,,,,
TRX000094,USR00129,BK00871,4/12/2025,4/26/2025,4/28/2025,Terlambat,16,Videografi: Konsep dan Praktik,"Hj. Raisa Maheswara, S.Farm",Erlangga,2018,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,Fotografi & Multimedia,"Buku ini menyajikan kajian komprehensif mengenai teknik pengambilan gambar fotografi, editing visual dan videografi, serta animasi dan motion graphic. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","motion graphic, editing visual, fotografi, multimedia",Indonesia,Fisik,331,978-0-223-28837-9,8,,,,,,,
TRX000097,USR00299,BK00738,10/13/2024,10/27/2024,11/2/2024,Terlambat,20,Pembelajaran Klinik Profesi Ners,"Drs. Gasti Rahayu, Indah Mahendra",Gramedia Pustaka Utama,2014,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,Keperawatan Profesi Ners,"Buku ini mengulas berbagai aspek penting dari etika dan profesionalisme keperawatan, praktik klinik keperawatan profesional, serta residensi dan pembelajaran klinik lanjutan. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","residensi keperawatan, profesi ners, praktik klinis ners, kompetensi ners",Indonesia,Fisik,208,978-0-8446-2671-0,3,,,,,,,
TRX000102,USR00182,BK00504,8/15/2023,8/29/2023,8/30/2023,Terlambat,15,Keperawatan Medikal Bedah: Teori dan Praktik Klinis,"Shania Simbolon, S.H., R. Gamani Pradana, S.IP",Alfabeta,2022,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,Keperawatan Klinis,"Buku ini dirancang sebagai panduan untuk memahami penanganan kondisi darurat medis, manajemen perawatan pasien, serta komunikasi terapeutik perawat. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","keperawatan gawat darurat, keperawatan medikal bedah, keperawatan anak, keperawatan",Indonesia,Fisik,207,978-1-363-17970-1,5,,,,,,,
TRX000103,USR00334,BK01189,7/18/2023,8/1/2023,8/8/2023,Terlambat,21,Psikologi Klinis: Teori dan Aplikasi,"Gadang Mandala, Hesti Kuswandari",Kencana Prenada,2008,"Fakultas Sosial, Humaniora, & Seni",Psikologi,Psikologi Umum & Klinis,"Buku ini mengulas berbagai aspek penting dari perilaku dan proses mental manusia, perkembangan kepribadian individu, serta intervensi psikoterapi klinis. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","psikologi, psikologi klinis, kepribadian, kesehatan mental",Indonesia,Fisik,397,978-0-7773-1268-1,4,,,,,,,
TRX000104,USR00243,BK00991,7/7/2023,7/21/2023,7/27/2023,Terlambat,20,Arsitektur Ruang Dalam: Konsep dan Aplikasi,Jamalia Situmorang,Pustaka Pelajar,2022,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,Desain Interior & Arsitektur Ruang,"Buku ini memberikan pemahaman menyeluruh tentang pemilihan material dan furnitur, konsep arsitektur ruang dalam modern, serta prinsip pencahayaan dan estetika ruang. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","furnitur, desain interior, pencahayaan ruang, tata ruang",Indonesia,Fisik,344,978-0-7738-2646-5,6,,,,,,,
TRX000114,USR00185,BK00773,6/22/2025,7/6/2025,7/12/2025,Terlambat,20,Modul Praktik Klinik Ners Edisi Ke-3,"Dr. Gawati Simbolon, S.T., Laksana Usamah",Andi Publisher,2008,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,Keperawatan Profesi Ners,"Buku ini membahas secara mendalam tentang residensi dan pembelajaran klinik lanjutan, kompetensi ners dalam asuhan pasien, serta etika dan profesionalisme keperawatan. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","keperawatan komprehensif, evidence based practice, keperawatan lanjutan, kompetensi ners",Indonesia,E-book,364,978-0-7365-2717-0,9999,,,,,,,
TRX000116,USR00131,BK00724,10/16/2024,10/30/2024,11/2/2024,Terlambat,17,Pembelajaran Klinik Keperawatan Berbasis Bukti,Sabrina Hasanah,Informatika Bandung,2023,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,Keperawatan Profesi Ners,"Buku ini menyajikan kajian komprehensif mengenai etika dan profesionalisme keperawatan, praktik klinik keperawatan profesional, serta residensi dan pembelajaran klinik lanjutan. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","profesi ners, evidence based practice, keperawatan lanjutan, kompetensi ners",Inggris,E-book,501,978-1-209-54814-2,9999,,,,,,,
TRX000121,USR00178,BK00251,2/22/2025,3/8/2025,3/9/2025,Terlambat,15,Perancangan SQL Server,"Rafid Simbolon, Bakijan Prayoga",Rajawali Pers,2009,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami manajemen sistem basis data, arsitektur data warehouse, serta perancangan basis data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","normalisasi, query, database, sql",Indonesia,Fisik,466,978-1-80442-067-6,7,,,,,,,
TRX000123,USR00207,BK01276,9/10/2023,9/24/2023,9/25/2023,Terlambat,15,Strategi Media Digital,"Hendri Kusumo, Dinda Suryono",Salemba Empat,2005,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Komunikasi & Media,"Buku ini mengulas berbagai aspek penting dari pengaruh media sosial terhadap opini publik, hubungan masyarakat dan citra publik, serta dinamika komunikasi massa. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","public relations, media digital, media sosial, jurnalistik",Inggris,Fisik,498,978-0-607-81975-5,8,,,,,,,
TRX000125,USR00378,BK00521,12/16/2023,12/30/2023,12/31/2023,Terlambat,15,Dasar-Dasar Keperawatan Gawat Darurat,Irnanto Rajata,Alfabeta,2010,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,Keperawatan Klinis,"Buku ini dirancang sebagai panduan untuk memahami komunikasi terapeutik perawat, penanganan kondisi darurat medis, serta manajemen perawatan pasien. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","praktik klinis, keperawatan, keperawatan anak, keperawatan gawat darurat",Indonesia,Fisik,143,978-0-380-55257-3,0,,,,,,,
TRX000128,USR00366,BK00914,12/21/2024,1/4/2025,1/8/2025,Terlambat,18,Pengantar Desain Multimedia,Tedi Firmansyah,Alfabeta,2014,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,Fotografi & Multimedia,"Buku ini dirancang sebagai panduan untuk memahami produksi konten multimedia digital, desain media interaktif, serta teknik pengambilan gambar fotografi. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","multimedia, motion graphic, fotografi, editing visual",Indonesia,E-book,206,978-0-212-88665-4,9999,,,,,,,
TRX000130,USR00343,BK01019,7/1/2024,7/15/2024,7/21/2024,Terlambat,20,Perancangan Desain Interior,Praba Najmudin,Erlangga,2005,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,Desain Interior & Arsitektur Ruang,"Buku ini dirancang sebagai panduan untuk memahami ergonomi dalam desain ruang, pemilihan material dan furnitur, serta perancangan tata ruang interior. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","arsitektur ruang, furnitur, desain interior, pencahayaan ruang",Indonesia,Fisik,174,978-0-587-72216-8,0,,,,,,,
TRX000133,USR00221,BK01354,10/29/2023,11/12/2023,11/17/2023,Terlambat,19,Dasar-Dasar Produksi Berita Edisi Ke-2,"Cut Karimah Adriansyah, S.Sos",Informatika Bandung,2024,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Jurnalistik & Media Digital,"Buku ini mengulas berbagai aspek penting dari strategi konten media sosial, produksi berita di media digital, serta komunikasi digital dan audiens. Membantu pembaca membangun pemahaman konseptual maupun praktis.","media sosial, jurnalistik, konten kreator, produksi berita",Inggris,E-book,484,978-0-223-55216-6,9999,,,,,,,
TRX000137,USR00145,BK01346,10/26/2025,11/9/2025,11/16/2025,Terlambat,21,Pengantar Content Creation Edisi Ke-2,Carla Prasetya,Informatika Bandung,2015,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Jurnalistik & Media Digital,"Buku ini dirancang sebagai panduan untuk memahami strategi konten media sosial, etika jurnalistik di era digital, serta produksi berita di media digital. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","produksi berita, media digital, media sosial, jurnalistik",Indonesia,Fisik,184,978-0-85277-895-1,3,,,,,,,
TRX000142,USR00356,BK01218,10/10/2023,10/24/2023,10/31/2023,Terlambat,21,Pengantar Psikologi Perkembangan Edisi Ke-2,"Nyana Kusumo, Hilda Marpaung, M.Ak",Alfabeta,2009,"Fakultas Sosial, Humaniora, & Seni",Psikologi,Psikologi Umum & Klinis,"Buku ini dirancang sebagai panduan untuk memahami perilaku dan proses mental manusia, dinamika interaksi sosial manusia, serta gangguan psikologis dan penanganannya. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","kepribadian, psikologi, kesehatan mental, psikologi klinis",Inggris,E-book,184,978-0-620-47876-2,9999,,,,,,,
TRX000146,USR00040,BK01091,6/9/2024,6/23/2024,6/28/2024,Terlambat,19,Pengantar Tata Kelola Perusahaan,Dinda Permadi,Kencana Prenada,2012,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,Administrasi & Manajemen Bisnis,"Buku ini memberikan pemahaman menyeluruh tentang manajemen sumber daya manusia perusahaan, efisiensi operasional organisasi bisnis, serta strategi tata kelola perusahaan. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","administrasi bisnis, manajemen keuangan, tata kelola perusahaan, operasional bisnis",Inggris,Fisik,203,978-0-605-07918-2,0,,,,,,,
TRX000147,USR00183,BK01374,12/12/2023,12/26/2023,1/2/2024,Terlambat,21,Strategi Content Creation,Lukita Mustofa,Bumi Aksara,2008,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Jurnalistik & Media Digital,"Buku ini membahas secara mendalam tentang strategi konten media sosial, produksi berita di media digital, serta komunikasi digital dan audiens. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","media sosial, komunikasi digital, media digital, jurnalistik",Indonesia,Fisik,274,978-0-452-38885-7,1,,,,,,,
TRX000150,USR00244,BK00381,4/17/2025,5/1/2025,5/5/2025,Terlambat,18,Pengantar Manajemen Kualitas,Hj. Lala Saputra,Kencana Prenada,2024,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,Teknik Industri & Manajemen Operasi,"Buku ini menyajikan kajian komprehensif mengenai manajemen kualitas dan produktivitas, efisiensi tata letak fasilitas pabrik, serta perencanaan dan pengendalian produksi. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","manajemen operasi, six sigma, efisiensi kerja, tata letak pabrik",Inggris,Fisik,178,978-1-9876-2202-7,2,,,,,,,
TRX000151,USR00132,BK00503,9/16/2023,9/30/2023,10/1/2023,Terlambat,15,Asuhan Keperawatan Jiwa Edisi Ke-3,"Anastasia Nasyiah, S.E., Panji Dabukke",Kencana Prenada,2009,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,Keperawatan Klinis,"Buku ini mengulas berbagai aspek penting dari manajemen perawatan pasien, asuhan keperawatan pasien, serta prosedur klinis keperawatan. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","keperawatan, keperawatan gawat darurat, keperawatan anak, praktik klinis",Indonesia,Fisik,170,978-0-13-799563-9,6,,,,,,,
TRX000153,USR00234,BK01139,11/10/2024,11/24/2024,11/25/2024,Terlambat,15,Membangun Manajemen Pemasaran Edisi Ke-2,Tgk. Dinda Prakasa,Nuha Medika,2014,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,Kewirausahaan & Pemasaran Bisnis,"Buku ini membahas secara mendalam tentang membangun bisnis rintisan startup, pengembangan bisnis digital, serta manajemen pemasaran produk dan jasa. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","kewirausahaan, startup, e-commerce, manajemen pemasaran",Indonesia,Fisik,453,978-0-670-42549-5,5,,,,,,,
