id_user,nama,jenis_user,fakultas,prodi,angkatan
USR00062,Kenzie Natsir,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2025
USR00063,Betania Marpaung,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2023
USR00064,Gamblang Prayoga,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2024
USR00065,"Umay Riyanti, M.M.",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2022
USR00066,"Dr. Viktor Mandasari, S.IP",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2023
USR00067,Joko Simbolon,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2023
USR00068,Labuh Puspita,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2024
USR00069,Sutan Cager Maryadi,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2021
USR00070,Rosman Wulandari,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2025
USR00071,"R. Cahyanto Utama, S.Sos",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2023
USR00072,"Widya Habibi, M.Pd",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2022
USR00073,Cawuk Firgantoro,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2021
USR00074,Eman Puspasari,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2020
USR00075,Rachel Hastuti,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2024
USR00076,Dr. Jono Purnawati,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2020
USR00077,Kamaria Pranowo,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2024
USR00078,"Ulya Wahyudin, M.TI.",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025
USR00079,Fitria Prakasa,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2020
USR00080,"Kasusra Wijaya, S.Gz",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2021
USR00081,"KH. Paiman Gunarto, S.Kom",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2023
USR00082,Estiawan Sihombing,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2025
USR00083,Virman Wibisono,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2023
USR00084,"Bajragin Pertiwi, M.Farm",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2021
USR00085,Carla Haryanti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2021
USR00086,Ganjaran Marpaung,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2025
USR00087,Teddy Pertiwi,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2024
USR00088,"Puti Ayu Maryadi, M.Farm",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2021
USR00089,Prayogo Rahmawati,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2023
USR00090,"Kamaria Wijayanti, S.Ked",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00091,Gadang Napitupulu,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2023
USR00092,Ika Yolanda,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2022
USR00093,"Drs. Febi Hakim, M.Ak",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2022
USR00094,"R.A. Agnes Permata, S.Farm",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2020
USR00095,Chelsea Pranowo,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2023
USR00096,"Lega Mandasari, S.Pt",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2024
USR00097,Puti Dalima Widodo,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2025
USR00098,Mahesa Maryadi,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2021
USR00099,"Eka Latupono, S.Kom",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2022
USR00100,Banara Haryanti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2024
USR00101,Nadia Wijayanti,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2023
USR00102,Asmadi Latupono,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2023
USR00103,Hj. Clara Latupono,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2023
USR00104,Harjaya Waskita,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2020
USR00105,Cager Najmudin,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2024
USR00106,Banawa Safitri,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2020
USR00107,"Ami Hassanah, S.E.I",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2025
USR00108,"Jasmin Wijayanti, M.TI.",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2022
USR00109,"drg. Wardi Prayoga, S.Kom",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2023
USR00110,R.A. Ani Sihombing,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2023
USR00111,R.A. Mala Wibowo,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2022
USR00112,Fathonah Nasyiah,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2023
USR00113,Mitra Nugroho,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2022
USR00114,Sadina Widiastuti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2021
USR00115,"T. Prayoga Nurdiyanti, S.IP",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2025
USR00116,Prakosa Suryono,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2023
USR00117,Baktianto Iswahyudi,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2022
USR00118,Ayu Puspita,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00119,"Harto Utami, M.TI.",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2021
USR00120,Virman Sirait,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00121,"Cut Ratih Widiastuti, S.Psi",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2020
USR00122,Cakrawala Riyanti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2025
USR00123,Keisha Mahendra,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2020
USR00124,Saadat Rahayu,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2021
USR00125,Naradi Utama,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2023
USR00126,Tantri Wibowo,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2021
USR00127,"Puti Yessi Yolanda, S.Ked",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2021
USR00128,"Sutan Nasrullah Widiastuti, M.Farm",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2025
USR00129,dr. Dian Padmasari,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2024
USR00130,Yuni Budiyanto,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2025
USR00131,"R. Dartono Hasanah, S.IP",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2023
USR00132,Enteng Nainggolan,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2025
USR00133,Kani Pudjiastuti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2020
USR00134,Puput Utama,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2020
USR00135,Ina Mustofa,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2025
USR00136,Slamet Dongoran,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2021
USR00137,Citra Mangunsong,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2022
USR00138,Caket Laksmiwati,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2024
USR00139,Indra Maheswara,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2022
USR00140,Raisa Marpaung,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2023
USR00141,Gina Puspita,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2020
USR00142,Indah Halim,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2023
USR00143,Liman Safitri,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2021
USR00144,Ilyas Hutasoit,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2022
USR00145,Maria Rahayu,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2025
USR00146,Hendri Pradana,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2021
USR00147,Budi Suryono,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2025
USR00148,Ir. Warsa Kurniawan,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2025
USR00149,Jamalia Rajata,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2020
USR00150,"R. Yunita Usamah, S.Ked",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2023
USR00151,Nardi Suwarno,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2023
USR00152,Drajat Halim,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025
USR00153,Agus Susanti,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2024
USR00154,Latika Mandasari,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2020
USR00155,Hj. Mila Uwais,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2021
USR00156,Winda Samosir,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2020
USR00157,Puti Kartika Handayani,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00158,Hj. Victoria Tampubolon,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2022
USR00159,Intan Anggraini,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2021
USR00160,"R. Hilda Ramadan, M.Kom.",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2025
USR00161,"Puti Dina Ramadan, M.M.",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2024
USR00162,Ade Kusumo,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2024
USR00163,Kala Halim,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2025
USR00164,"R. Raditya Mulyani, S.IP",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2023
USR00165,Daniswara Dongoran,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2025
USR00166,"H. Prima Zulkarnain, M.Pd",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00167,Baktianto Hartati,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2021
USR00168,Ika Iswahyudi,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2022
USR00169,Elisa Anggraini,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2024
USR00170,Dt. Kenari Budiman,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2021
USR00171,R. Rosman Winarsih,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2024
USR00172,Melinda Kurniawan,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2024
USR00173,Lega Dabukke,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2020
USR00174,"Puti Jasmin Halim, M.M.",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2020
USR00175,Daliman Melani,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2023
USR00176,Hasan Hartati,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2022
USR00177,Dirja Habibi,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2020
USR00178,Tania Pradana,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2025
USR00179,Cindy Hardiansyah,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2022
USR00180,"Tgk. Karen Nuraini, S.T.",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2022
USR00181,Ifa Pangestu,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2021
USR00182,"dr. Cayadi Latupono, S.Kom",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2023
USR00183,Agus Pratiwi,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00184,Elvina Tampubolon,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2022
USR00185,Dr. Murti Thamrin,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2025
USR00186,Maria Aryani,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2024
USR00187,Tgk. Najwa Dabukke,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2022
USR00188,Banawa Purwanti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2022
USR00189,Ganda Napitupulu,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2020
USR00190,"Rangga Pangestu, M.Ak",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2023
USR00191,Endah Farida,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2022
USR00192,Zalindra Fujiati,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2023
USR00193,Maya Maryadi,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00194,Garan Padmasari,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2024
USR00195,Karna Permadi,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2023
USR00196,"R. Tira Kusmawati, S.Ked",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2024
USR00197,Asmianto Santoso,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025
USR00198,Lidya Anggraini,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2020
USR00199,Galang Sitompul,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2024
USR00200,"Lanjar Dongoran, S.Pt",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2024
USR00201,"R. Asirwanda Hassanah, M.Farm",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2020
USR00202,Salwa Hastuti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2023
USR00203,Vino Ramadan,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2025
USR00204,Ajimat Yolanda,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2021
USR00205,Restu Prakasa,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2023
USR00206,KH. Wardaya Puspasari,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2020
USR00207,Rizki Pratiwi,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2021
USR00208,"H. Sidiq Usamah, S.T.",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2022
USR00209,Cut Iriana Prayoga,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2020
USR00210,"Nugraha Haryanto, S.Psi",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2022
USR00211,"R.M. Artanto Rajasa, M.Ak",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2024
USR00212,Drs. Ani Rahmawati,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2022
USR00213,Septi Rahimah,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2024
USR00214,"Dr. Lala Sudiati, M.TI.",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2021
USR00215,Suci Prasetyo,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2025
USR00216,"Atmaja Napitupulu, M.M.",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2023
USR00217,Dr. Silvia Lazuardi,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2024
USR00218,"drg. Kezia Suartini, M.Pd",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2025
USR00219,"Icha Jailani, S.Farm",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00220,Cinthia Maryadi,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2024
USR00221,Jayeng Suwarno,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2021
USR00222,Jayeng Kuswandari,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2020
USR00223,Tgk. Hilda Pradipta,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2022
USR00224,"R. Vanesa Sinaga, S.Farm",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2023
USR00225,Danu Mulyani,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2023
USR00226,"Lantar Riyanti, S.Pd",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2024
USR00227,Ir. Calista Suryatmi,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2022
USR00228,Yani Budiman,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2025
USR00229,Narji Saptono,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2022
USR00230,Tasdik Astuti,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2022
USR00231,"Hj. Dina Dongoran, S.Kom",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2020
USR00232,Anastasia Mulyani,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2024
USR00233,Yuliana Namaga,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2020
